movieid,year,genres,rating,timestamp,genre_tfidf,year_norm,moviename,actor_tfidf
1,1995,Adventure|Animation|Children|Comedy|Fantasy,4.00264660289614,19002.850979599065,0.0744205412907703,0.8539325842696629,Toy Story,0.628967332404397
2,1995,Adventure|Children|Fantasy,3.293716755319149,18286.791648667822,0.04744647492739096,0.8539325842696629,Jumanji,0.9192599473602725
3,1995,Comedy|Romance,3.2050064184852376,14216.132644972478,0.2114850798056905,0.8539325842696629,Grumpier Old Men,1.7901377922278991
4,1995,Comedy|Drama|Romance,2.8877551020408165,11650.482322576001,0.2330171948492559,0.8539325842696629,Waiting to Exhale,1.0160241523455644
5,1995,Comedy,3.1216538192011214,12928.709350490613,0.3809854267869535,0.8539325842696629,Father of the Bride Part II,1.5482272797646697
7,1995,Comedy|Romance,3.410342261904762,13517.415411537739,0.2114850798056905,0.8539325842696629,Sabrina,1.6449914847499616
8,1995,Adventure|Children,3.1668520578420467,13337.23960230494,0.06054823039555864,0.8539325842696629,Tom and Huck,0.6773494348970429
9,1995,Action,3.02263701350278,10425.513567228401,0.16354383529956049,0.8539325842696629,Sudden Death,0.9676420498529184
10,1995,Action|Adventure|Thriller,3.487350750679749,14922.367231463142,0.10152414732567404,0.8539325842696629,GoldenEye,2.2255767146617123
12,1995,Comedy|Horror,2.617152961980548,13974.417974690901,0.17375086745315754,0.8539325842696629,Dracula: Dead and Loving It,1.4030809722867317
13,1995,Animation|Children,3.238157894736842,15404.782667902082,0.029059680777238032,0.8539325842696629,Balto,2.902926149558755
15,1995,Action|Adventure|Romance,2.7712238147739803,14630.923669758358,0.10136993343100213,0.8539325842696629,Cutthroat Island,1.4514630747793777
16,1995,Crime|Drama,3.8361916640681843,19318.72083375806,0.22640527411519779,0.8539325842696629,Casino,2.8061619445734634
17,1995,Comedy|Drama|Romance,4.01548459563543,13312.425478247473,0.2330171948492559,0.8539325842696629,Sense and Sensibility,1.3063167673014398
18,1995,Comedy|Drama|Thriller,3.3926104972375692,16375.136923379081,0.2331714087439278,0.8539325842696629,Four Rooms,1.0644062548382103
