movieid,year,genres,timestamp,rating,genre_tfidf,year_norm,actor_tfidf,moviename,label
1,1995,Adventure|Animation|Children|Comedy|Fantasy,19002.8509796,4.0026466029,0.0744205412908,0.85393258427,0.628967332404,Toy Story,1
2,1995,Adventure|Children|Fantasy,18286.7916487,3.29371675532,0.0474464749274,0.85393258427,0.91925994736,Jumanji,0
3,1995,Comedy|Romance,14216.132645,3.20500641849,0.211485079806,0.85393258427,1.79013779223,Grumpier Old Men,0
4,1995,Comedy|Drama|Romance,11650.4823226,2.88775510204,0.233017194849,0.85393258427,1.01602415235,Waiting to Exhale,1
5,1995,Comedy,12928.7093505,3.1216538192,0.380985426787,0.85393258427,1.54822727976,Father of the Bride Part II,1
7,1995,Comedy|Romance,13517.4154115,3.4103422619,0.211485079806,0.85393258427,1.64499148475,Sabrina,1
8,1995,Adventure|Children,13337.2396023,3.16685205784,0.0605482303956,0.85393258427,0.677349434897,Tom and Huck,0
9,1995,Action,10425.5135672,3.0226370135,0.1635438353,0.85393258427,0.967642049853,Sudden Death,1
10,1995,Action|Adventure|Thriller,14922.3672315,3.48735075068,0.101524147326,0.85393258427,2.22557671466,GoldenEye,1
12,1995,Comedy|Horror,13974.4179747,2.61715296198,0.173750867453,0.85393258427,1.40308097229,Dracula: Dead and Loving It,0
13,1995,Animation|Children,15404.7826679,3.23815789474,0.0290596807772,0.85393258427,2.90292614956,Balto,1
15,1995,Action|Adventure|Romance,14630.9236698,2.77122381477,0.101369933431,0.85393258427,1.45146307478,Cutthroat Island,0
16,1995,Crime|Drama,19318.7208338,3.83619166407,0.226405274115,0.85393258427,2.80616194457,Casino,1
17,1995,Comedy|Drama|Romance,13312.4254782,4.01548459564,0.233017194849,0.85393258427,1.3063167673,Sense and Sensibility,1
18,1995,Comedy|Drama|Thriller,16375.1369234,3.39261049724,0.233171408744,0.85393258427,1.06440625484,Four Rooms,0
19,1995,Comedy,18125.0050931,2.67821653849,0.380985426787,0.85393258427,0.774113639882,Ace Ventura: When Nature Calls,1
20,1995,Action|Comedy|Crime|Drama|Thriller,14767.9972316,2.92367032075,0.159833448994,0.85393258427,1.49984517727,Money Train,1
21,1995,Action|Comedy|Drama,13770.008406,3.64038643427,0.228699205798,0.85393258427,3.33836507199,Get Shorty,1
22,1995,Crime|Drama|Horror|Mystery|Thriller,15302.798205,3.39746062359,0.110256766135,0.85393258427,1.69337358724,Copycat,0
23,1995,Action|Crime|Thriller,13902.1782208,3.20338983051,0.10363173722,0.85393258427,1.40308097229,Assassins,1
